Device ID,Device Name,Fleet Name,Speed,Altitude,Creation Time,Location,Precision,Direct,Satellites,IO Status,Emergency,ACC State
2590000898,B 9979 SYM,"Sankyu,PT",8.99 km/h,36.0,2026-09-08 08:40:19,"106.013298,-6.003042",1.0,160,12,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",8.78 km/h,35.0,2026-09-08 08:40:14,"106.013275,-6.00293",0.0,183,10,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",8.5 km/h,35.0,2026-09-08 08:40:10,"106.013298,-6.002845",0.0,204,10,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",8.45 km/h,35.0,2026-09-08 08:40:05,"106.013367,-6.002762",0.0,226,11,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",0.0 km/h,39.0,2026-09-08 08:39:35,"106.013939,-6.002343",1.0,224,8,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",7.12 km/h,43.0,2026-09-08 08:39:05,"106.013718,-6.0019",1.0,197,5,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",0.0 km/h,43.0,2026-09-08 08:38:56,"106.013824,-6.001791",1.0,229,4,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",0.0 km/h,28.0,2026-09-08 08:31:45,"106.014008,-6.001582",0.0,230,18,,No,off
2590000898,B 9979 SYM,"Sankyu,PT",0.0 km/h,28.0,2026-09-08 08:31:15,"106.014008,-6.001582",0.0,230,18,,No,off
2590000898,B 9979 SYM,"Sankyu,PT",18.53 km/h,29.0,2026-09-08 08:30:45,"106.014496,-6.001165",0.0,233,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",28.98 km/h,25.0,2026-09-08 08:30:36,"106.014885,-6.00079",0.0,212,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",40.2 km/h,28.0,2026-09-08 08:30:18,"106.015106,-5.999153",0.0,184,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",27.52 km/h,26.0,2026-09-08 08:29:48,"106.015121,-5.996185",0.0,175,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",26.89 km/h,26.0,2026-09-08 08:29:46,"106.015129,-5.996048",0.0,201,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",26.82 km/h,25.0,2026-09-08 08:29:44,"106.015198,-5.995936",0.0,234,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",49.87 km/h,25.0,2026-09-08 08:29:31,"106.016418,-5.995877",0.0,269,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",47.11 km/h,34.0,2026-09-08 08:29:01,"106.02018,-5.99587",0.0,269,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",44.69 km/h,39.0,2026-09-08 08:28:31,"106.023735,-5.99587",0.0,271,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",25.25 km/h,35.0,2026-09-08 08:28:01,"106.026756,-5.995872",0.0,260,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",25.16 km/h,36.0,2026-09-08 08:27:57,"106.026993,-5.995793",0.0,238,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",21.38 km/h,36.0,2026-09-08 08:27:44,"106.027412,-5.995282",0.0,216,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",5.21 km/h,37.0,2026-09-08 08:27:14,"106.027855,-5.994667",0.0,220,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",18.48 km/h,38.0,2026-09-08 08:26:44,"106.028618,-5.993603",0.0,216,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",0.0 km/h,35.0,2026-09-08 08:26:14,"106.029472,-5.992345",0.0,222,19,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",0.0 km/h,35.0,2026-09-08 08:25:44,"106.029472,-5.992345",0.0,222,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",0.0 km/h,35.0,2026-09-08 08:25:14,"106.029472,-5.992345",0.0,222,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",0.0 km/h,35.0,2026-09-08 08:24:44,"106.029472,-5.992345",0.0,222,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",11.78 km/h,37.0,2026-09-08 08:24:14,"106.029549,-5.99226",0.0,218,19,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",35.46 km/h,44.0,2026-09-08 08:23:44,"106.031021,-5.990217",0.0,216,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",32.2 km/h,44.0,2026-09-08 08:23:19,"106.031769,-5.988198",0.0,196,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",31.8 km/h,37.0,2026-09-08 08:23:07,"106.032417,-5.987477",0.0,218,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",32.07 km/h,38.0,2026-09-08 08:23:04,"106.032532,-5.987282",0.0,198,19,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",31.7 km/h,38.0,2026-09-08 08:23:00,"106.032578,-5.98697",0.0,174,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",27.54 km/h,36.0,2026-09-08 08:22:49,"106.032211,-5.986213",0.0,153,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",25.65 km/h,38.0,2026-09-08 08:22:36,"106.032158,-5.985407",0.0,176,17,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",22.14 km/h,33.0,2026-09-08 08:22:23,"106.031868,-5.984702",0.0,155,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",23.64 km/h,34.0,2026-09-08 08:22:17,"106.031815,-5.984382",0.0,176,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",23.66 km/h,34.0,2026-09-08 08:22:12,"106.03186,-5.984082",0.0,198,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",14.15 km/h,38.0,2026-09-08 08:22:04,"106.032082,-5.98369",0.0,219,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",14.72 km/h,39.0,2026-09-08 08:22:02,"106.03215,-5.98364",0.0,247,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",13.87 km/h,40.0,2026-09-08 08:22:00,"106.032234,-5.983634",0.0,279,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",15.54 km/h,40.0,2026-09-08 08:21:58,"106.032303,-5.983655",0.0,302,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",18.61 km/h,37.0,2026-09-08 08:21:39,"106.032974,-5.984338",0.0,325,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",0.0 km/h,37.0,2026-09-08 08:21:26,"106.033165,-5.984551",0.0,290,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",47.02 km/h,35.0,2026-09-08 08:20:56,"106.035469,-5.985962",0.0,308,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",55.42 km/h,45.0,2026-09-08 08:20:26,"106.038551,-5.988437",0.0,308,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",56.11 km/h,54.0,2026-09-08 08:20:05,"106.041092,-5.989942",0.0,288,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",54.42 km/h,55.0,2026-09-08 08:19:48,"106.043396,-5.990283",0.0,268,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",48.22 km/h,47.0,2026-09-08 08:19:18,"106.047256,-5.989918",0.0,272,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",45.69 km/h,42.0,2026-09-08 08:18:59,"106.049438,-5.990374",0.0,293,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",50.85 km/h,40.0,2026-09-08 08:18:34,"106.052002,-5.99225",0.0,313,21,,No,on
